               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09374,            0.022668,            0.053936,             0.19328,             0.60833,             0.22047,            0.089692,            0.022848,           0.0096922,            0.022555,              0.0026,              0.0026,              0.0766
                   1,             0.05692,            0.020251,            0.047587,             0.24634,             0.41798,             0.28533,            0.048259,            0.038304,           0.0058802,            0.017287,           0.0051951,           0.0051951,            0.052195
                   2,             0.06008,            0.015952,            0.036605,              0.3146,             0.37256,             0.29444,            0.091167,            0.023881,           0.0071284,            0.015937,           0.0076832,           0.0076832,            0.027683
                   3,            0.053463,            0.013345,            0.023815,             0.17449,             0.56389,             0.33583,              0.1833,            0.018013,           0.0050162,            0.024784,            0.009406,            0.009406,            0.009406
                   4,            0.046995,            0.012693,             0.01998,             0.27581,             0.34167,             0.16052,            0.060168,            0.024978,           0.0076464,            0.044988,            0.009406,            0.009406,            0.009406
                   5,            0.045101,            0.012313,            0.019771,              0.2098,                 0.4,             0.15878,             0.04803,            0.032644,           0.0085676,            0.031193,            0.009208,            0.009208,            0.009208
                   6,            0.038407,             0.01249,            0.024154,             0.20585,             0.23867,             0.19713,             0.05523,            0.032857,           0.0082468,            0.046017,             0.00901,             0.00901,             0.00901
                   7,            0.036868,            0.011566,            0.014641,             0.45432,             0.50278,             0.32428,             0.14163,            0.016618,           0.0087847,            0.013082,            0.008812,            0.008812,            0.008812
                   8,            0.036176,            0.011331,              0.0163,          0.00025673,             0.10833,          0.00027521,          6.7664e-05,            0.026254,            0.016752,            0.051927,            0.008614,            0.008614,            0.008614
                   9,            0.032707,             0.01066,            0.013724,             0.15584,              0.5061,             0.25273,             0.13268,            0.019813,           0.0096617,             0.04048,            0.008416,            0.008416,            0.008416
